DATE,ATM,Cash
2010-05-01,ATM1,86.55756451504175
2010-05-02,ATM1,100.72700887563484
2010-05-03,ATM1,73.56746138955845
2010-05-04,ATM1,4.218697689662649
2010-05-05,ATM1,100.08864581227903
2010-05-06,ATM1,79.3553202078795
2010-05-07,ATM1,85.69286061691474
2010-05-08,ATM1,87.11589179822636
2010-05-09,ATM1,100.42235221476308
2010-05-10,ATM1,73.68576090016599
2010-05-11,ATM1,4.211756734501615
2010-05-12,ATM1,100.12422273106645
2010-05-13,ATM1,79.34066658177505
2010-05-14,ATM1,85.7004525828086
2010-05-15,ATM1,87.11213119613143
2010-05-16,ATM1,100.42439709012346
2010-05-17,ATM1,73.68496550907413
2010-05-18,ATM1,4.211803346383963
2010-05-19,ATM1,100.12398363854221
2010-05-20,ATM1,79.3407650409949
2010-05-21,ATM1,85.7004015664753
2010-05-22,ATM1,87.11215646532031
2010-05-23,ATM1,100.42438334935818
2010-05-24,ATM1,73.68497085373093
2010-05-25,ATM1,4.211803033171354
2010-05-26,ATM1,100.12398524513729
2010-05-27,ATM1,79.34076437939201
2010-05-28,ATM1,85.70040190928255
2010-05-29,ATM1,87.11215629552248
2010-05-30,ATM1,100.42438344169003
2010-05-31,ATM1,73.68497081781719
2010-05-01,ATM2,60.64381561496236
2010-05-02,ATM2,67.871320573801
2010-05-03,ATM2,10.389256313371748
2010-05-04,ATM2,2.790490214057584
2010-05-05,ATM2,100.40579981497798
2010-05-06,ATM2,94.40891942823937
2010-05-07,ATM2,71.86152044262397
2010-05-08,ATM2,69.78482175020561
2010-05-09,ATM2,74.12324579753023
2010-05-10,ATM2,13.126679041666732
2010-05-11,ATM2,2.9744218815094623
2010-05-12,ATM2,98.7462495033216
2010-05-13,ATM2,88.3705398278679
2010-05-14,ATM2,65.132362836503
2010-05-15,ATM2,61.43386522509204
2010-05-16,ATM2,66.58447377865829
2010-05-17,ATM2,9.42918717651065
2010-05-18,ATM2,1.7488502281934069
2010-05-19,ATM2,97.22777021711723
2010-05-20,ATM2,90.72733841228904
2010-05-21,ATM2,69.51873495415595
2010-05-22,ATM2,68.13545239224504
2010-05-23,ATM2,74.11267951379546
2010-05-24,ATM2,13.522100855583425
2010-05-25,ATM2,3.7256258267406177
2010-05-26,ATM2,101.75923987424268
2010-05-27,ATM2,91.82802479663398
2010-05-28,ATM2,67.80064101796866
2010-05-29,ATM2,63.78077580852735
2010-05-30,ATM2,67.92829382522979
2010-05-31,ATM2,9.588779124079437
2010-05-01,ATM3,87.66666666666667
2010-05-02,ATM3,87.66666666666667
2010-05-03,ATM3,87.66666666666667
2010-05-04,ATM3,87.66666666666667
2010-05-05,ATM3,87.66666666666667
2010-05-06,ATM3,87.66666666666667
2010-05-07,ATM3,87.66666666666667
2010-05-08,ATM3,87.66666666666667
2010-05-09,ATM3,87.66666666666667
2010-05-10,ATM3,87.66666666666667
2010-05-11,ATM3,87.66666666666667
2010-05-12,ATM3,87.66666666666667
2010-05-13,ATM3,87.66666666666667
2010-05-14,ATM3,87.66666666666667
2010-05-15,ATM3,87.66666666666667
2010-05-16,ATM3,87.66666666666667
2010-05-17,ATM3,87.66666666666667
2010-05-18,ATM3,87.66666666666667
2010-05-19,ATM3,87.66666666666667
2010-05-20,ATM3,87.66666666666667
2010-05-21,ATM3,87.66666666666667
2010-05-22,ATM3,87.66666666666667
2010-05-23,ATM3,87.66666666666667
2010-05-24,ATM3,87.66666666666667
2010-05-25,ATM3,87.66666666666667
2010-05-26,ATM3,87.66666666666667
2010-05-27,ATM3,87.66666666666667
2010-05-28,ATM3,87.66666666666667
2010-05-29,ATM3,87.66666666666667
2010-05-30,ATM3,87.66666666666667
2010-05-31,ATM3,87.66666666666667
2010-05-01,ATM4,86.71044311495066
2010-05-02,ATM4,100.57957590837303
2010-05-03,ATM4,73.65332586607835
2010-05-04,ATM4,4.221914641845475
2010-05-05,ATM4,100.15930668807367
2010-05-06,ATM4,79.34221713150833
2010-05-07,ATM4,85.77303826948852
2010-05-08,ATM4,87.21325721342096
2010-05-09,ATM4,100.39361705152169
2010-05-10,ATM4,73.65332586607835
2010-05-11,ATM4,4.221914641845475
2010-05-12,ATM4,100.15930668807367
2010-05-13,ATM4,79.34221713150833
2010-05-14,ATM4,85.77303826948852
2010-05-15,ATM4,87.21325721342096
2010-05-16,ATM4,100.39361705152169
2010-05-17,ATM4,73.65332586607835
2010-05-18,ATM4,4.221914641845475
2010-05-19,ATM4,100.15930668807367
2010-05-20,ATM4,79.34221713150833
2010-05-21,ATM4,85.77303826948852
2010-05-22,ATM4,87.21325721342096
2010-05-23,ATM4,100.39361705152169
2010-05-24,ATM4,73.65332586607835
2010-05-25,ATM4,4.221914641845475
2010-05-26,ATM4,100.15930668807367
2010-05-27,ATM4,79.34221713150833
2010-05-28,ATM4,85.77303826948852
2010-05-29,ATM4,87.21325721342096
2010-05-30,ATM4,100.39361705152169
2010-05-31,ATM4,73.65332586607835
