YYYY-MMM,KWH
2014-Jan,9258931.76601228
2014-Feb,7601952.21331812
2014-Mar,6271385.65113991
2014-Apr,5540959.927414
2014-May,5284851.27565661
2014-Jun,6965936.80507518
2014-Jul,6658349.13880295
2014-Aug,8689617.67980868
2014-Sep,7798350.1149675
2014-Oct,5638598.23402749
2014-Nov,5261799.25978608
2014-Dec,7018427.65258775
